dataset,model,question_id,y_true,p_pred,fold
medqa,qwen3-4b,medqa_test_00990,1,0.842311,5
medqa,qwen3-4b,medqa_test_00202,0,0.791635,5
medqa,qwen3-4b,medqa_test_01258,1,0.663463,5
medqa,qwen3-4b,medqa_test_00277,1,0.896281,3
medqa,qwen3-4b,medqa_test_00427,1,0.917063,5
medqa,qwen3-4b,medqa_test_01202,1,0.864695,5
medqa,qwen3-4b,medqa_test_01027,1,0.856382,3
medqa,qwen3-4b,medqa_test_00827,1,0.842623,3
medqa,qwen3-4b,medqa_test_00503,1,0.782297,5
medqa,qwen3-4b,medqa_test_00325,1,0.842691,4
medqa,qwen3-4b,medqa_test_00681,1,0.850513,2
medqa,qwen3-4b,medqa_test_00932,0,0.778925,2
medqa,qwen3-4b,medqa_test_00387,1,0.803747,1
medqa,qwen3-4b,medqa_test_00235,1,0.890144,2
medqa,qwen3-4b,medqa_test_00066,1,0.857884,3
medqa,qwen3-4b,medqa_test_00347,1,0.913588,2
medqa,qwen3-4b,medqa_test_01121,1,0.766,4
medqa,qwen3-4b,medqa_test_00376,0,0.512326,2
medqa,qwen3-4b,medqa_test_00035,1,0.863959,2
medqa,qwen3-4b,medqa_test_00332,1,0.775654,3
medqa,qwen3-4b,medqa_test_00400,1,0.705806,4
medqa,qwen3-4b,medqa_test_01145,1,0.746854,5
medqa,qwen3-4b,medqa_test_00975,1,0.853673,2
medqa,qwen3-4b,medqa_test_00845,1,0.88765,2
medqa,qwen3-4b,medqa_test_00650,1,0.866251,2
medqa,qwen3-4b,medqa_test_00540,0,0.697852,5
medqa,qwen3-4b,medqa_test_00796,1,0.830258,2
medqa,qwen3-4b,medqa_test_00715,1,0.79163,3
medqa,qwen3-4b,medqa_test_00002,1,0.884888,5
medqa,qwen3-4b,medqa_test_00395,1,0.888463,2
medqa,qwen3-4b,medqa_test_00464,1,0.662157,1
medqa,qwen3-4b,medqa_test_00331,0,0.472916,4
medqa,qwen3-4b,medqa_test_00959,1,0.836145,1
medqa,qwen3-4b,medqa_test_00454,0,0.741526,2
medqa,qwen3-4b,medqa_test_00920,1,0.865327,2
medqa,qwen3-4b,medqa_test_00528,1,0.530707,3
medqa,qwen3-4b,medqa_test_01166,1,0.876607,5
medqa,qwen3-4b,medqa_test_00187,1,0.903054,1
medqa,qwen3-4b,medqa_test_00823,1,0.8038,1
medqa,qwen3-4b,medqa_test_00997,1,0.886646,1
medqa,qwen3-4b,medqa_test_01142,0,0.823966,2
medqa,qwen3-4b,medqa_test_00586,1,0.907351,5
medqa,qwen3-4b,medqa_test_01155,1,0.794635,5
medqa,qwen3-4b,medqa_test_00536,1,0.667115,1
medqa,qwen3-4b,medqa_test_00510,1,0.795775,1
medqa,qwen3-4b,medqa_test_00976,1,0.762198,2
medqa,qwen3-4b,medqa_test_01050,1,0.823551,3
medqa,qwen3-4b,medqa_test_00742,0,0.122468,5
medqa,qwen3-4b,medqa_test_01263,0,0.791559,4
medqa,qwen3-4b,medqa_test_00631,1,0.84737,3
