dataset,model,baseline,n,orientation,auroc_raw_oriented,auroc_fitted_1d_LR,abs_diff
medqa,qwen3-4b,semantic_entropy,740,-1,0.6828,0.6603,0.0225
medqa,qwen3-4b,p_true,740,1,0.595,0.5216,0.0734
medqa,qwen3-4b,verbalized_confidence,736,1,0.6407,0.6497,0.0091
mmlu_pro,qwen3-4b,semantic_entropy,730,-1,0.7225,0.692,0.0305
mmlu_pro,qwen3-4b,p_true,712,1,0.6022,0.5497,0.0525
mmlu_pro,qwen3-4b,verbalized_confidence,708,1,0.6954,0.6892,0.0061
trivia_qa,qwen3-4b,semantic_entropy,915,-1,0.8714,0.8643,0.0072
trivia_qa,qwen3-4b,p_true,915,1,0.7799,0.6202,0.1597
trivia_qa,qwen3-4b,verbalized_confidence,910,1,0.7429,0.7365,0.0064
medqa,r1-distill-llama-8b,semantic_entropy,792,-1,0.6838,0.6814,0.0024
medqa,r1-distill-llama-8b,p_true,785,1,0.5851,0.5709,0.0142
medqa,r1-distill-llama-8b,verbalized_confidence,782,1,0.5644,0.5574,0.007
mmlu_pro,r1-distill-llama-8b,semantic_entropy,598,-1,0.7277,0.72,0.0078
mmlu_pro,r1-distill-llama-8b,p_true,480,1,0.629,0.6027,0.0263
mmlu_pro,r1-distill-llama-8b,verbalized_confidence,587,1,0.5614,0.4442,0.1172
trivia_qa,r1-distill-llama-8b,semantic_entropy,944,-1,0.8341,0.8315,0.0027
trivia_qa,r1-distill-llama-8b,p_true,942,1,0.6865,0.6361,0.0504
trivia_qa,r1-distill-llama-8b,verbalized_confidence,943,1,0.6556,0.6477,0.0079
mmlu_pro,qwq-32b,semantic_entropy,657,-1,0.5957,0.5686,0.0271
mmlu_pro,qwq-32b,p_true,657,1,0.609,0.5601,0.0489
mmlu_pro,qwq-32b,verbalized_confidence,629,1,0.6289,0.6156,0.0133
trivia_qa,qwq-32b,semantic_entropy,956,-1,0.8074,0.7941,0.0133
trivia_qa,qwq-32b,p_true,956,1,0.715,0.6273,0.0877
trivia_qa,qwq-32b,verbalized_confidence,953,1,0.7153,0.7028,0.0125
medqa,qwen3-4b-nothink,semantic_entropy,926,-1,0.6959,0.6827,0.0131
medqa,qwen3-4b-nothink,p_true,926,1,0.6207,0.5726,0.0481
medqa,qwen3-4b-nothink,verbalized_confidence,926,1,0.5925,0.6001,0.0076
mmlu_pro,qwen3-4b-nothink,semantic_entropy,908,-1,0.7613,0.7509,0.0104
mmlu_pro,qwen3-4b-nothink,p_true,897,1,0.6172,0.5779,0.0393
mmlu_pro,qwen3-4b-nothink,verbalized_confidence,903,1,0.6263,0.6218,0.0045
trivia_qa,qwen3-4b-nothink,semantic_entropy,989,-1,0.8432,0.8365,0.0067
trivia_qa,qwen3-4b-nothink,p_true,989,1,0.7148,0.6585,0.0563
trivia_qa,qwen3-4b-nothink,verbalized_confidence,987,1,0.6155,0.6053,0.0101
medqa,llama-3.1-8b-instruct,semantic_entropy,974,-1,0.7843,0.7809,0.0034
medqa,llama-3.1-8b-instruct,p_true,973,1,0.5501,0.5355,0.0146
medqa,llama-3.1-8b-instruct,verbalized_confidence,973,1,0.5555,0.5529,0.0027
mmlu_pro,llama-3.1-8b-instruct,semantic_entropy,731,-1,0.7783,0.772,0.0063
mmlu_pro,llama-3.1-8b-instruct,p_true,531,1,0.5901,0.5811,0.0089
mmlu_pro,llama-3.1-8b-instruct,verbalized_confidence,721,1,0.6048,0.5877,0.0172
trivia_qa,llama-3.1-8b-instruct,semantic_entropy,818,-1,0.7913,0.7861,0.0052
trivia_qa,llama-3.1-8b-instruct,p_true,769,1,0.616,0.5742,0.0418
trivia_qa,llama-3.1-8b-instruct,verbalized_confidence,816,1,0.5625,0.551,0.0114
