question_id,model,dataset,kind,gold_answer,greedy_prediction,greedy_choice,correct,in_all_clean,greedy_truncated,n_samples_clean,n_samples_with_prediction,n_samples_with_letter,trace_length,hedging_formal,hedging_reasoning,hedging_combined,connector_density,rep_3,rep_4,rep_5,trace_divergence,answer_semantic_entropy,p_true,verbalized_confidence
trivia_qa_validation_01109,qwq-32b,trivia_qa,free_answer,Canada,Canada,,True,True,False,10,10,10,453.9,0.031050459501693016,0.006040040032777326,0.03709049953447035,0.012339071220402719,0.03840907925031698,0.013520590776640095,0.0059527199122551555,0.07091299444437027,-1.4428232973175175e-12,0.9999921107382005,1.0
trivia_qa_validation_01470,qwq-32b,trivia_qa,free_answer,Gerald Ford,Gerald Ford,,True,True,False,10,10,10,476.6,0.03332738834269559,0.010578677430318139,0.043505264169807316,0.014959703766668641,0.06907705166914484,0.02877257125701128,0.013221973313760137,0.05452187731862068,-1.4428232973175175e-12,0.9984988156221327,1.0
trivia_qa_validation_03794,qwq-32b,trivia_qa,free_answer,Reducing,reduction,,True,True,False,10,10,10,362.2,0.042128771109326106,0.011816902258638273,0.05253665178402199,0.015608895520092378,0.03295073492365308,0.013527226910083946,0.006927709899567281,0.034874506294727325,-1.4428232973175175e-12,0.9999980052699393,1.0
trivia_qa_validation_17430,qwq-32b,trivia_qa,free_answer,Montreal,Montreal,,True,True,False,10,10,10,430.2,0.0365589677215073,0.006555958392734476,0.04258582558514124,0.011016543724669616,0.03332710802167584,0.01296181001262441,0.0031696552073710695,0.03953194245696068,-1.4428232973175175e-12,0.9999724643012114,1.0
trivia_qa_validation_04391,qwq-32b,trivia_qa,free_answer,1822,"Alternatively, perhaps the correct answer",,False,False,True,0,10,10,6122.1,0.03578484621586175,0.024173551074973664,0.05685452442832809,0.010342042794311916,0.31782312589152417,0.1912462156045696,0.11712871542528794,0.04097294807434082,3.3219280948729355,0.0003799837394577924,0.5
trivia_qa_validation_02655,qwq-32b,trivia_qa,free_answer,BOUVIER,Bouvier,,True,True,False,10,10,10,509.1,0.031040210752590242,0.015067405022745872,0.04379599471506138,0.01904491447598323,0.06265604534857111,0.021744275627923016,0.0065129235791200005,0.0510793998837471,-1.4428232973175175e-12,0.9999832985856699,1.0
trivia_qa_validation_00167,qwq-32b,trivia_qa,free_answer,8%,2%,,False,True,False,10,10,10,1209.9,0.052945237401819376,0.012826414694231836,0.06489039194045594,0.01479641095925629,0.10022195643456641,0.03961616209646325,0.014409447029864342,0.02741251327097416,-1.4428232973175175e-12,0.7772990266469837,0.9
trivia_qa_validation_13407,qwq-32b,trivia_qa,free_answer,Gerald Scarfe,Peter Duffell,,False,True,False,10,10,10,1488.0,0.04193706128951812,0.030583309251500358,0.06950487094853423,0.01184209784745964,0.1471134358447453,0.0762478769660426,0.04001883750986546,0.1754208207130432,3.1219280948743777,0.9914225012691703,0.95
trivia_qa_validation_07784,qwq-32b,trivia_qa,free_answer,ARBROATH,Arbroath,,True,True,False,10,10,10,721.3,0.048757767905923524,0.015065016154588565,0.061726651485397466,0.010854341952532511,0.06971156446635092,0.026551720908561217,0.010430756559476872,0.05628574267029762,-1.4428232973175175e-12,0.9997388091869727,0.9
trivia_qa_validation_02331,qwq-32b,trivia_qa,free_answer,COMET,de Havilland Comet,,False,True,False,10,10,10,465.3,0.02958576865941523,0.007112892425049956,0.036520725141404684,0.014105411272970636,0.07819095062900164,0.03481708039574151,0.01758685145389525,0.036579396575689316,-1.4428232973175175e-12,0.9996200156199605,0.95
trivia_qa_validation_12374,qwq-32b,trivia_qa,free_answer,New Year,Vietnamese New Year,,False,True,False,10,10,10,421.0,0.026173932323713917,0.003165513987693409,0.028643100725355856,0.019294557345055856,0.09363539724335924,0.0465809923224462,0.026051538435284495,0.05735979229211807,1.3567796494412687,0.9999921107345892,1.0
trivia_qa_validation_04621,qwq-32b,trivia_qa,free_answer,Types of grass,"Marram is a coastal dune grass, fescue refers to a genus of hardy grasses, and rye typically denotes either a cereal grain or ryegrass, depending on context.",,False,True,False,10,10,10,1157.3,0.03407753982247091,0.007362007061439956,0.04089592873224599,0.011325448623453142,0.07750044362970143,0.03131176405936616,0.011652487419909496,0.03883594274520874,2.046439344663802,0.9999546021480311,0.95
trivia_qa_validation_08546,qwq-32b,trivia_qa,free_answer,Sarah Keays,Sara Keays,,False,True,False,10,10,10,681.8,0.03362653540934239,0.01543009944019633,0.048014509263233016,0.00793245114840555,0.08885550949579579,0.044461321615113,0.026030080315133396,0.1543743908405304,1.770950594447455,0.9990889492152465,0.9
trivia_qa_validation_14149,qwq-32b,trivia_qa,free_answer,Thomas Cranmer,Thomas Cranmer,,True,True,False,10,10,10,542.0,0.018263373703233804,0.0036567092008847808,0.021920082904118583,0.011656421205838466,0.05646227381256942,0.027423226249021472,0.012620249100443192,0.04013708606362343,-1.4428232973175175e-12,0.9999546021449415,1.0
trivia_qa_validation_13242,qwq-32b,trivia_qa,free_answer,The Garrick Club,Dramatic Association of Great Britain,,False,True,False,10,10,10,2564.4,0.04662743840338264,0.03635186728436446,0.07841143744723367,0.003653713642956794,0.22879902613404823,0.12972167234267454,0.07570438002283206,0.09300394356250763,2.5219280948772633,0.9992903228080763,0.9
trivia_qa_validation_16107,qwq-32b,trivia_qa,free_answer,ALBERT FINNEY,Oliver Reed,,False,True,False,10,10,10,714.2,0.05089517437564499,0.020407604841000966,0.06643650459292283,0.006018258435104633,0.06476306679096042,0.023338892473385598,0.00993738272300414,0.1792551875114441,1.5219280948830343,0.00013982187192056558,0.85
