dataset,model,method,n,orientation,auroc,auroc_ci_low,auroc_ci_high,aurc,acc_at_80
medqa,qwen3-4b,trace_LR,740,1,0.7767,0.7383,0.8117,0.0976,0.8277
mmlu_pro,qwen3-4b,trace_LR,730,1,0.8175,0.7838,0.8488,0.0924,0.8305
trivia_qa,qwen3-4b,trace_LR,915,1,0.8266,0.8,0.8544,0.286,0.5861
medqa,r1-distill-llama-8b,trace_LR,792,1,0.6701,0.6322,0.7082,0.3324,0.5599
mmlu_pro,r1-distill-llama-8b,trace_LR,599,1,0.6977,0.6577,0.7398,0.3596,0.5678
trivia_qa,r1-distill-llama-8b,trace_LR,944,1,0.7334,0.7013,0.7669,0.446,0.445
mmlu_pro,qwq-32b,trace_LR,657,1,0.7436,0.6785,0.8057,0.0403,0.9411
trivia_qa,qwq-32b,trace_LR,956,1,0.7587,0.7226,0.7962,0.1549,0.8105
medqa,qwen3-4b-nothink,trace_LR,926,1,0.6528,0.6183,0.6883,0.2428,0.6842
mmlu_pro,qwen3-4b-nothink,trace_LR,908,1,0.6909,0.6556,0.7262,0.2096,0.7107
trivia_qa,qwen3-4b-nothink,trace_LR,989,1,0.7964,0.7672,0.8231,0.372,0.5032
medqa,llama-3.1-8b-instruct,trace_LR,974,1,0.6541,0.6163,0.687,0.2454,0.7047
mmlu_pro,llama-3.1-8b-instruct,trace_LR,731,1,0.6562,0.6179,0.6938,0.3425,0.5846
trivia_qa,llama-3.1-8b-instruct,trace_LR,818,1,0.6478,0.608,0.6872,0.2994,0.6896
medqa,qwen3-4b,semantic_entropy,740,-1,0.6828,0.6419,0.724,0.1675,0.8361
medqa,qwen3-4b,p_true,740,1,0.595,0.5459,0.6395,0.1753,0.7753
medqa,qwen3-4b,verbalized_confidence,736,1,0.6407,0.6034,0.6784,0.1556,0.7912
mmlu_pro,qwen3-4b,semantic_entropy,730,-1,0.7225,0.6793,0.7651,0.1716,0.8425
mmlu_pro,qwen3-4b,p_true,712,1,0.6022,0.5576,0.6542,0.1954,0.7719
mmlu_pro,qwen3-4b,verbalized_confidence,708,1,0.6954,0.6557,0.7361,0.1494,0.7915
trivia_qa,qwen3-4b,semantic_entropy,915,-1,0.8714,0.8498,0.8939,0.2613,0.6025
trivia_qa,qwen3-4b,p_true,915,1,0.7799,0.7504,0.8088,0.3071,0.5779
trivia_qa,qwen3-4b,verbalized_confidence,910,1,0.7429,0.715,0.7692,0.349,0.5907
medqa,r1-distill-llama-8b,semantic_entropy,792,-1,0.6838,0.6476,0.7217,0.3293,0.5741
medqa,r1-distill-llama-8b,p_true,785,1,0.5851,0.5469,0.6263,0.4174,0.5478
medqa,r1-distill-llama-8b,verbalized_confidence,782,1,0.5644,0.529,0.6016,0.4235,0.5463
mmlu_pro,r1-distill-llama-8b,semantic_entropy,598,-1,0.7277,0.6866,0.7673,0.3326,0.5649
mmlu_pro,r1-distill-llama-8b,p_true,480,1,0.629,0.5794,0.6793,0.3916,0.5729
mmlu_pro,r1-distill-llama-8b,verbalized_confidence,587,1,0.5614,0.5179,0.6103,0.4282,0.5106
trivia_qa,r1-distill-llama-8b,semantic_entropy,944,-1,0.8341,0.8079,0.8591,0.3847,0.4728
trivia_qa,r1-distill-llama-8b,p_true,942,1,0.6865,0.6524,0.7212,0.4817,0.4324
trivia_qa,r1-distill-llama-8b,verbalized_confidence,943,1,0.6556,0.6195,0.6901,0.5083,0.435
mmlu_pro,qwq-32b,semantic_entropy,657,-1,0.5957,0.5466,0.6489,0.0813,0.9278
mmlu_pro,qwq-32b,p_true,657,1,0.609,0.5443,0.6749,0.063,0.9049
mmlu_pro,qwq-32b,verbalized_confidence,629,1,0.6289,0.5603,0.6943,0.0688,0.9185
trivia_qa,qwq-32b,semantic_entropy,956,-1,0.8074,0.775,0.8387,0.1381,0.8379
trivia_qa,qwq-32b,p_true,956,1,0.715,0.6775,0.7524,0.1745,0.7843
trivia_qa,qwq-32b,verbalized_confidence,953,1,0.7153,0.6789,0.7501,0.168,0.7822
medqa,qwen3-4b-nothink,semantic_entropy,926,-1,0.6959,0.6623,0.7278,0.2297,0.7018
medqa,qwen3-4b-nothink,p_true,926,1,0.6207,0.5831,0.6593,0.3015,0.6937
medqa,qwen3-4b-nothink,verbalized_confidence,926,1,0.5925,0.5604,0.6261,0.2872,0.6667
mmlu_pro,qwen3-4b-nothink,semantic_entropy,908,-1,0.7613,0.7279,0.7939,0.2062,0.7438
mmlu_pro,qwen3-4b-nothink,p_true,897,1,0.6172,0.578,0.6565,0.2829,0.7019
mmlu_pro,qwen3-4b-nothink,verbalized_confidence,903,1,0.6263,0.5937,0.6613,0.3005,0.705
trivia_qa,qwen3-4b-nothink,semantic_entropy,989,-1,0.8432,0.8212,0.8654,0.3621,0.5171
trivia_qa,qwen3-4b-nothink,p_true,989,1,0.7148,0.6833,0.7449,0.4403,0.5019
trivia_qa,qwen3-4b-nothink,verbalized_confidence,987,1,0.6155,0.5948,0.6373,0.5137,0.4899
medqa,llama-3.1-8b-instruct,semantic_entropy,974,-1,0.7843,0.7562,0.8126,0.1708,0.7304
medqa,llama-3.1-8b-instruct,p_true,973,1,0.5501,0.5124,0.5866,0.3192,0.6671
medqa,llama-3.1-8b-instruct,verbalized_confidence,973,1,0.5555,0.5273,0.5851,0.289,0.6658
mmlu_pro,llama-3.1-8b-instruct,semantic_entropy,731,-1,0.7783,0.7419,0.8106,0.2577,0.6103
mmlu_pro,llama-3.1-8b-instruct,p_true,531,1,0.5901,0.54,0.6371,0.4085,0.5718
mmlu_pro,llama-3.1-8b-instruct,verbalized_confidence,721,1,0.6048,0.5684,0.6412,0.398,0.5841
trivia_qa,llama-3.1-8b-instruct,semantic_entropy,818,-1,0.7913,0.7612,0.822,0.1944,0.7385
trivia_qa,llama-3.1-8b-instruct,p_true,769,1,0.616,0.5757,0.6562,0.2948,0.6959
trivia_qa,llama-3.1-8b-instruct,verbalized_confidence,816,1,0.5625,0.5397,0.5852,0.3477,0.657
