dataset,model,n_greedy,auroc_trace_LR_greedy,aurc_trace_LR_greedy,auroc_semantic_entropy,aurc_semantic_entropy,auroc_p_true,aurc_p_true,auroc_verbalized_confidence,aurc_verbalized_confidence,delta_auroc_greedy_minus_SE,delta_auroc_greedy_minus_p_true,delta_auroc_greedy_minus_verbal
medqa,qwen3-4b,740,0.7331,0.1267,0.6828,0.1675,0.595,0.1753,0.6407,0.1556,0.0503,0.1381,0.0924
medqa,r1-distill-llama-8b,792,0.6357,0.3718,0.6838,0.3293,0.5851,0.4174,0.5644,0.4235,-0.0481,0.0506,0.0713
medqa,qwen3-4b-nothink,926,0.6065,0.2853,0.6959,0.2297,0.6207,0.3015,0.5925,0.2872,-0.0894,-0.0142,0.014
medqa,llama-3.1-8b-instruct,974,0.5734,0.2923,0.7843,0.1708,0.5501,0.3192,0.5555,0.289,-0.2109,0.0233,0.0179
mmlu_pro,qwen3-4b,730,0.8065,0.1037,0.7225,0.1716,0.6022,0.1954,0.6954,0.1494,0.084,0.2043,0.1111
mmlu_pro,r1-distill-llama-8b,599,0.6539,0.3951,0.7277,0.3326,0.629,0.3916,0.5614,0.4282,-0.0738,0.0249,0.0925
mmlu_pro,qwq-32b,657,0.6791,0.0578,0.5957,0.0813,0.609,0.063,0.6289,0.0688,0.0834,0.0701,0.0502
mmlu_pro,qwen3-4b-nothink,908,0.6299,0.2754,0.7613,0.2062,0.6172,0.2829,0.6263,0.3005,-0.1314,0.0127,0.0036
mmlu_pro,llama-3.1-8b-instruct,731,0.595,0.4008,0.7783,0.2577,0.5901,0.4085,0.6048,0.398,-0.1833,0.0049,-0.0098
trivia_qa,qwen3-4b,915,0.7778,0.3058,0.8714,0.2613,0.7799,0.3071,0.7429,0.349,-0.0936,-0.0021,0.0349
trivia_qa,r1-distill-llama-8b,944,0.6691,0.4995,0.8341,0.3847,0.6865,0.4817,0.6556,0.5083,-0.165,-0.0174,0.0135
trivia_qa,qwq-32b,956,0.6906,0.186,0.8074,0.1381,0.715,0.1745,0.7153,0.168,-0.1168,-0.0244,-0.0247
trivia_qa,qwen3-4b-nothink,989,0.6301,0.4965,0.8432,0.3621,0.7148,0.4403,0.6155,0.5137,-0.2131,-0.0847,0.0146
trivia_qa,llama-3.1-8b-instruct,818,0.5323,0.3836,0.7913,0.1944,0.616,0.2948,0.5625,0.3477,-0.259,-0.0837,-0.0302
