dataset,model,feature,n,auroc_greedy_single_feat
medqa,qwen3-4b,trace_length,740,0.7025
medqa,qwen3-4b,rep_5,740,0.7174
medqa,qwen3-4b,hedging_formal,740,0.6633
medqa,qwen3-4b,connector_density,740,0.5291
mmlu_pro,qwen3-4b,trace_length,730,0.6777
mmlu_pro,qwen3-4b,rep_5,730,0.7663
mmlu_pro,qwen3-4b,hedging_formal,730,0.6865
mmlu_pro,qwen3-4b,connector_density,730,0.5651
trivia_qa,qwen3-4b,trace_length,915,0.7556
trivia_qa,qwen3-4b,rep_5,915,0.7567
trivia_qa,qwen3-4b,hedging_formal,915,0.6803
trivia_qa,qwen3-4b,connector_density,915,0.7279
medqa,r1-distill-llama-8b,trace_length,792,0.636
medqa,r1-distill-llama-8b,rep_5,792,0.6027
medqa,r1-distill-llama-8b,hedging_formal,792,0.6029
medqa,r1-distill-llama-8b,connector_density,792,0.527
mmlu_pro,r1-distill-llama-8b,trace_length,599,0.6121
mmlu_pro,r1-distill-llama-8b,rep_5,599,0.6539
mmlu_pro,r1-distill-llama-8b,hedging_formal,599,0.5968
mmlu_pro,r1-distill-llama-8b,connector_density,599,0.5237
trivia_qa,r1-distill-llama-8b,trace_length,944,0.6627
trivia_qa,r1-distill-llama-8b,rep_5,944,0.5969
trivia_qa,r1-distill-llama-8b,hedging_formal,944,0.6027
trivia_qa,r1-distill-llama-8b,connector_density,944,0.6358
mmlu_pro,qwq-32b,trace_length,657,0.5669
mmlu_pro,qwq-32b,rep_5,657,0.6248
mmlu_pro,qwq-32b,hedging_formal,657,0.6808
mmlu_pro,qwq-32b,connector_density,657,0.5191
trivia_qa,qwq-32b,trace_length,956,0.6881
trivia_qa,qwq-32b,rep_5,956,0.6659
trivia_qa,qwq-32b,hedging_formal,956,0.6558
trivia_qa,qwq-32b,connector_density,956,0.5832
medqa,qwen3-4b-nothink,trace_length,926,0.5775
medqa,qwen3-4b-nothink,rep_5,926,0.5428
medqa,qwen3-4b-nothink,hedging_formal,926,0.5738
medqa,qwen3-4b-nothink,connector_density,926,0.5224
mmlu_pro,qwen3-4b-nothink,trace_length,908,0.5957
mmlu_pro,qwen3-4b-nothink,rep_5,908,0.5929
mmlu_pro,qwen3-4b-nothink,hedging_formal,908,0.5683
mmlu_pro,qwen3-4b-nothink,connector_density,908,0.5318
trivia_qa,qwen3-4b-nothink,trace_length,989,0.6365
trivia_qa,qwen3-4b-nothink,rep_5,989,0.5453
trivia_qa,qwen3-4b-nothink,hedging_formal,989,0.5325
trivia_qa,qwen3-4b-nothink,connector_density,989,0.5113
medqa,llama-3.1-8b-instruct,trace_length,974,0.5664
medqa,llama-3.1-8b-instruct,rep_5,974,0.5352
medqa,llama-3.1-8b-instruct,hedging_formal,974,0.5664
medqa,llama-3.1-8b-instruct,connector_density,974,0.5127
mmlu_pro,llama-3.1-8b-instruct,trace_length,731,0.5723
mmlu_pro,llama-3.1-8b-instruct,rep_5,731,0.5506
mmlu_pro,llama-3.1-8b-instruct,hedging_formal,731,0.5321
mmlu_pro,llama-3.1-8b-instruct,connector_density,731,0.5473
trivia_qa,llama-3.1-8b-instruct,trace_length,818,0.5153
trivia_qa,llama-3.1-8b-instruct,rep_5,818,0.5613
trivia_qa,llama-3.1-8b-instruct,hedging_formal,818,0.503
trivia_qa,llama-3.1-8b-instruct,connector_density,818,0.503
