dataset,model,model_type,task_type,n_clean,trace_LR_auroc,se_auroc,trace_minus_se_auroc,trace_minus_se_ci_low,trace_minus_se_ci_high,trace_beats_se,trace_LR_aurc,se_aurc,trace_LR_acc80,se_acc80,brier_winner,nll_winner,combined_verdict
medqa,qwen3-4b,reasoning,mcq,740,0.7767,0.6828,0.0935,0.0511,0.1334,True,0.0976,0.1675,0.8277,0.8361,tie,tie,complementary
mmlu_pro,qwen3-4b,reasoning,mcq,730,0.8175,0.7225,0.0969,0.0518,0.1343,True,0.0924,0.1716,0.8305,0.8425,tie,tie,complementary
trivia_qa,qwen3-4b,reasoning,free_form,915,0.8266,0.8714,-0.0442,-0.0652,-0.0234,False,0.286,0.2613,0.5861,0.6025,SE,SE,complementary
mmlu_pro,qwq-32b,reasoning,mcq,657,0.7436,0.5957,0.1467,0.0845,0.2156,True,0.0403,0.0813,0.9411,0.9278,tie,tie,redundant
trivia_qa,qwq-32b,reasoning,free_form,956,0.7587,0.8074,-0.0486,-0.0797,-0.0175,False,0.1549,0.1381,0.8105,0.8379,SE,SE,complementary
medqa,r1-distill-llama-8b,reasoning,mcq,792,0.6701,0.6838,-0.014,-0.0519,0.0269,False,0.3324,0.3293,0.5599,0.5741,tie,tie,complementary
mmlu_pro,r1-distill-llama-8b,reasoning,mcq,599,0.6977,0.7277,-0.0321,-0.0762,0.0136,False,0.3596,0.3326,0.5678,0.5649,tie,tie,mixed
trivia_qa,r1-distill-llama-8b,reasoning,free_form,944,0.7334,0.8341,-0.1004,-0.1279,-0.0751,False,0.446,0.3847,0.445,0.4728,SE,SE,redundant
medqa,qwen3-4b-nothink,non_reasoning,mcq,926,0.6528,0.6959,-0.0428,-0.0828,-0.0044,False,0.2428,0.2297,0.6842,0.7018,SE,SE,mixed
mmlu_pro,qwen3-4b-nothink,non_reasoning,mcq,908,0.6909,0.7613,-0.0698,-0.1075,-0.0321,False,0.2096,0.2062,0.7107,0.7438,SE,SE,complementary
trivia_qa,qwen3-4b-nothink,non_reasoning,free_form,989,0.7964,0.8432,-0.0461,-0.0684,-0.0243,False,0.372,0.3621,0.5032,0.5171,SE,SE,redundant
medqa,llama-3.1-8b-instruct,non_reasoning,mcq,974,0.6541,0.7843,-0.1305,-0.1679,-0.0943,False,0.2454,0.1708,0.7047,0.7304,SE,SE,redundant
mmlu_pro,llama-3.1-8b-instruct,non_reasoning,mcq,731,0.6562,0.7783,-0.1208,-0.1664,-0.0771,False,0.3425,0.2577,0.5846,0.6103,SE,SE,redundant
trivia_qa,llama-3.1-8b-instruct,non_reasoning,free_form,818,0.6478,0.7913,-0.1437,-0.1808,-0.1057,False,0.2994,0.1944,0.6896,0.7385,SE,SE,mixed
