dataset,model,question_id,y_true,p_pred,fold
medqa,qwen3-4b,medqa_test_00990,1,0.878188,5
medqa,qwen3-4b,medqa_test_00202,0,0.872706,5
medqa,qwen3-4b,medqa_test_01258,1,0.582374,5
medqa,qwen3-4b,medqa_test_00277,1,0.916362,3
medqa,qwen3-4b,medqa_test_00427,1,0.959293,5
medqa,qwen3-4b,medqa_test_01202,1,0.920091,5
medqa,qwen3-4b,medqa_test_01027,1,0.910042,3
medqa,qwen3-4b,medqa_test_00827,1,0.9317,3
medqa,qwen3-4b,medqa_test_00503,1,0.793833,5
medqa,qwen3-4b,medqa_test_00325,1,0.885468,4
medqa,qwen3-4b,medqa_test_00681,1,0.844232,2
medqa,qwen3-4b,medqa_test_00932,0,0.698282,2
medqa,qwen3-4b,medqa_test_00387,1,0.828198,1
medqa,qwen3-4b,medqa_test_00235,1,0.957003,2
medqa,qwen3-4b,medqa_test_00066,1,0.897285,3
medqa,qwen3-4b,medqa_test_00347,1,0.879122,2
medqa,qwen3-4b,medqa_test_01121,1,0.775152,4
medqa,qwen3-4b,medqa_test_00376,0,0.509321,2
medqa,qwen3-4b,medqa_test_00035,1,0.905652,2
medqa,qwen3-4b,medqa_test_00332,1,0.642961,3
medqa,qwen3-4b,medqa_test_00400,1,0.574975,4
medqa,qwen3-4b,medqa_test_01145,1,0.803398,5
medqa,qwen3-4b,medqa_test_00975,1,0.941946,2
medqa,qwen3-4b,medqa_test_00845,1,0.870455,2
medqa,qwen3-4b,medqa_test_00650,1,0.771141,2
medqa,qwen3-4b,medqa_test_00540,0,0.533976,5
medqa,qwen3-4b,medqa_test_00796,1,0.76787,2
medqa,qwen3-4b,medqa_test_00715,1,0.82315,3
medqa,qwen3-4b,medqa_test_00002,1,0.885841,5
medqa,qwen3-4b,medqa_test_00395,1,0.912595,2
medqa,qwen3-4b,medqa_test_00464,1,0.582002,1
medqa,qwen3-4b,medqa_test_00331,0,0.710275,4
medqa,qwen3-4b,medqa_test_00959,1,0.868909,1
medqa,qwen3-4b,medqa_test_00454,0,0.707996,2
medqa,qwen3-4b,medqa_test_00920,1,0.922625,2
medqa,qwen3-4b,medqa_test_00528,1,0.800489,3
medqa,qwen3-4b,medqa_test_01166,1,0.879792,5
medqa,qwen3-4b,medqa_test_00187,1,0.952477,1
medqa,qwen3-4b,medqa_test_00823,1,0.743971,1
medqa,qwen3-4b,medqa_test_00997,1,0.936426,1
medqa,qwen3-4b,medqa_test_01142,0,0.855172,2
medqa,qwen3-4b,medqa_test_00586,1,0.784619,5
medqa,qwen3-4b,medqa_test_01155,1,0.647583,5
medqa,qwen3-4b,medqa_test_00536,1,0.725477,1
medqa,qwen3-4b,medqa_test_00510,1,0.712292,1
medqa,qwen3-4b,medqa_test_00976,1,0.723295,2
medqa,qwen3-4b,medqa_test_01050,1,0.827215,3
medqa,qwen3-4b,medqa_test_00742,0,0.205756,5
medqa,qwen3-4b,medqa_test_01263,0,0.835072,4
medqa,qwen3-4b,medqa_test_00631,1,0.801172,3
medqa,qwen3-4b,medqa_test_01157,1,0.856124,4
medqa,qwen3-4b,medqa_test_00473,1,0.9306,1
medqa,qwen3-4b,medqa_test_00812,1,0.789386,4
medqa,qwen3-4b,medqa_test_00299,1,0.922958,1
medqa,qwen3-4b,medqa_test_00717,1,0.822708,1
medqa,qwen3-4b,medqa_test_00850,0,0.541474,3
medqa,qwen3-4b,medqa_test_00049,1,0.747446,5
medqa,qwen3-4b,medqa_test_00100,1,0.528491,4
medqa,qwen3-4b,medqa_test_00662,1,0.728472,4
medqa,qwen3-4b,medqa_test_01254,1,0.872091,1
medqa,qwen3-4b,medqa_test_01150,0,0.640364,3
medqa,qwen3-4b,medqa_test_00044,0,0.352047,5
medqa,qwen3-4b,medqa_test_00861,0,0.685907,2
medqa,qwen3-4b,medqa_test_00898,1,0.877577,2
medqa,qwen3-4b,medqa_test_00328,1,0.763845,1
medqa,qwen3-4b,medqa_test_01071,1,0.913826,5
medqa,qwen3-4b,medqa_test_01032,1,0.898436,1
medqa,qwen3-4b,medqa_test_00892,1,0.867047,1
medqa,qwen3-4b,medqa_test_00623,1,0.959353,2
medqa,qwen3-4b,medqa_test_01173,1,0.949788,5
medqa,qwen3-4b,medqa_test_00272,1,0.905698,4
medqa,qwen3-4b,medqa_test_00489,1,0.95741,3
medqa,qwen3-4b,medqa_test_01185,1,0.902378,2
medqa,qwen3-4b,medqa_test_00848,1,0.880997,1
medqa,qwen3-4b,medqa_test_00835,1,0.921954,3
medqa,qwen3-4b,medqa_test_00860,1,0.445374,3
medqa,qwen3-4b,medqa_test_00603,1,0.839218,3
medqa,qwen3-4b,medqa_test_00356,1,0.841068,2
medqa,qwen3-4b,medqa_test_00185,0,0.677855,3
medqa,qwen3-4b,medqa_test_01193,0,0.866836,1
medqa,qwen3-4b,medqa_test_00711,1,0.90954,5
medqa,qwen3-4b,medqa_test_00263,1,0.715078,5
medqa,qwen3-4b,medqa_test_00667,1,0.954249,3
medqa,qwen3-4b,medqa_test_01187,1,0.816786,2
medqa,qwen3-4b,medqa_test_00231,1,0.763408,1
medqa,qwen3-4b,medqa_test_00177,0,0.864719,3
medqa,qwen3-4b,medqa_test_00296,1,0.893553,3
medqa,qwen3-4b,medqa_test_00482,1,0.923161,1
medqa,qwen3-4b,medqa_test_00857,1,0.923503,4
medqa,qwen3-4b,medqa_test_01251,1,0.914857,4
medqa,qwen3-4b,medqa_test_00021,1,0.737125,3
medqa,qwen3-4b,medqa_test_00056,1,0.457631,1
medqa,qwen3-4b,medqa_test_00485,0,0.939075,3
medqa,qwen3-4b,medqa_test_00887,0,0.540062,1
medqa,qwen3-4b,medqa_test_00090,1,0.897493,5
medqa,qwen3-4b,medqa_test_01026,0,0.735969,2
medqa,qwen3-4b,medqa_test_00055,1,0.934805,3
medqa,qwen3-4b,medqa_test_00658,1,0.920926,1
medqa,qwen3-4b,medqa_test_00706,0,0.335464,3
medqa,qwen3-4b,medqa_test_00545,1,0.925897,1
medqa,qwen3-4b,medqa_test_00878,1,0.830498,4
medqa,qwen3-4b,medqa_test_00192,1,0.95272,3
medqa,qwen3-4b,medqa_test_00738,1,0.964673,2
medqa,qwen3-4b,medqa_test_00531,0,0.895889,2
medqa,qwen3-4b,medqa_test_00568,1,0.938494,4
medqa,qwen3-4b,medqa_test_00286,1,0.93448,3
medqa,qwen3-4b,medqa_test_00785,0,0.758378,1
medqa,qwen3-4b,medqa_test_00067,1,0.892261,5
medqa,qwen3-4b,medqa_test_00571,1,0.653517,4
medqa,qwen3-4b,medqa_test_00212,0,0.916872,1
medqa,qwen3-4b,medqa_test_00220,1,0.904047,5
medqa,qwen3-4b,medqa_test_01132,0,0.501168,2
medqa,qwen3-4b,medqa_test_00492,1,0.877635,5
medqa,qwen3-4b,medqa_test_00420,1,0.603477,1
medqa,qwen3-4b,medqa_test_00978,1,0.960257,1
medqa,qwen3-4b,medqa_test_00699,1,0.883396,5
medqa,qwen3-4b,medqa_test_00730,1,0.490509,2
medqa,qwen3-4b,medqa_test_00969,1,0.889855,2
medqa,qwen3-4b,medqa_test_00032,0,0.63527,4
medqa,qwen3-4b,medqa_test_00876,1,0.866746,3
medqa,qwen3-4b,medqa_test_00126,1,0.660359,5
medqa,qwen3-4b,medqa_test_00179,1,0.866024,2
medqa,qwen3-4b,medqa_test_00367,0,0.784212,2
medqa,qwen3-4b,medqa_test_00121,1,0.926697,1
medqa,qwen3-4b,medqa_test_00011,1,0.898001,4
medqa,qwen3-4b,medqa_test_00829,0,0.73129,1
medqa,qwen3-4b,medqa_test_01068,1,0.844395,4
medqa,qwen3-4b,medqa_test_01203,1,0.569195,3
medqa,qwen3-4b,medqa_test_00820,1,0.931572,1
medqa,qwen3-4b,medqa_test_01180,1,0.747631,3
medqa,qwen3-4b,medqa_test_00901,1,0.582152,1
medqa,qwen3-4b,medqa_test_01163,0,0.638771,3
medqa,qwen3-4b,medqa_test_00426,1,0.623958,2
medqa,qwen3-4b,medqa_test_01044,1,0.945831,4
medqa,qwen3-4b,medqa_test_01212,1,0.757265,1
medqa,qwen3-4b,medqa_test_00875,1,0.88885,3
medqa,qwen3-4b,medqa_test_00125,1,0.802404,2
medqa,qwen3-4b,medqa_test_00269,1,0.901133,1
medqa,qwen3-4b,medqa_test_00148,1,0.909743,5
medqa,qwen3-4b,medqa_test_00462,1,0.86734,4
medqa,qwen3-4b,medqa_test_00960,0,0.672451,4
medqa,qwen3-4b,medqa_test_00314,1,0.452906,1
medqa,qwen3-4b,medqa_test_00087,1,0.784929,3
medqa,qwen3-4b,medqa_test_00726,1,0.873928,2
medqa,qwen3-4b,medqa_test_00017,1,0.944369,2
medqa,qwen3-4b,medqa_test_00034,0,0.743283,4
medqa,qwen3-4b,medqa_test_01041,1,0.741785,1
medqa,qwen3-4b,medqa_test_01006,1,0.877546,5
medqa,qwen3-4b,medqa_test_00153,1,0.90903,1
medqa,qwen3-4b,medqa_test_00298,1,0.757254,3
medqa,qwen3-4b,medqa_test_00893,1,0.919277,1
medqa,qwen3-4b,medqa_test_00294,1,0.912524,5
medqa,qwen3-4b,medqa_test_00599,1,0.856392,3
medqa,qwen3-4b,medqa_test_01014,1,0.916536,3
medqa,qwen3-4b,medqa_test_00587,0,0.709511,3
medqa,qwen3-4b,medqa_test_00677,0,0.603162,5
medqa,qwen3-4b,medqa_test_01037,0,0.445472,4
