dataset,model,question_id,y_true,p_pred,fold
medqa,qwen3-4b,medqa_test_00990,1,0.89699,5
medqa,qwen3-4b,medqa_test_00202,0,0.878762,5
medqa,qwen3-4b,medqa_test_01258,1,0.667723,5
medqa,qwen3-4b,medqa_test_00277,1,0.924438,3
medqa,qwen3-4b,medqa_test_00427,1,0.948404,5
medqa,qwen3-4b,medqa_test_01202,1,0.91353,5
medqa,qwen3-4b,medqa_test_01027,1,0.907458,3
medqa,qwen3-4b,medqa_test_00827,1,0.93435,3
medqa,qwen3-4b,medqa_test_00503,1,0.656635,5
medqa,qwen3-4b,medqa_test_00325,1,0.885712,4
medqa,qwen3-4b,medqa_test_00681,1,0.861175,2
medqa,qwen3-4b,medqa_test_00932,0,0.731207,2
medqa,qwen3-4b,medqa_test_00387,1,0.842599,1
medqa,qwen3-4b,medqa_test_00235,1,0.952298,2
medqa,qwen3-4b,medqa_test_00066,1,0.903894,3
medqa,qwen3-4b,medqa_test_00347,1,0.881023,2
medqa,qwen3-4b,medqa_test_01121,1,0.830281,4
medqa,qwen3-4b,medqa_test_00376,0,0.420643,2
medqa,qwen3-4b,medqa_test_00035,1,0.900218,2
medqa,qwen3-4b,medqa_test_00332,1,0.536478,3
medqa,qwen3-4b,medqa_test_00400,1,0.645351,4
medqa,qwen3-4b,medqa_test_01145,1,0.815011,5
medqa,qwen3-4b,medqa_test_00975,1,0.9338,2
medqa,qwen3-4b,medqa_test_00845,1,0.874272,2
medqa,qwen3-4b,medqa_test_00650,1,0.786629,2
medqa,qwen3-4b,medqa_test_00540,0,0.634622,5
medqa,qwen3-4b,medqa_test_00796,1,0.636266,2
medqa,qwen3-4b,medqa_test_00715,1,0.843117,3
medqa,qwen3-4b,medqa_test_00002,1,0.898645,5
medqa,qwen3-4b,medqa_test_00395,1,0.911738,2
medqa,qwen3-4b,medqa_test_00464,1,0.456948,1
medqa,qwen3-4b,medqa_test_00331,0,0.813692,4
medqa,qwen3-4b,medqa_test_00959,1,0.8644,1
medqa,qwen3-4b,medqa_test_00454,0,0.478802,2
medqa,qwen3-4b,medqa_test_00920,1,0.919783,2
medqa,qwen3-4b,medqa_test_00528,1,0.861893,3
medqa,qwen3-4b,medqa_test_01166,1,0.884582,5
medqa,qwen3-4b,medqa_test_00187,1,0.93862,1
medqa,qwen3-4b,medqa_test_00823,1,0.700214,1
medqa,qwen3-4b,medqa_test_00997,1,0.936272,1
medqa,qwen3-4b,medqa_test_01142,0,0.857851,2
medqa,qwen3-4b,medqa_test_00586,1,0.827369,5
medqa,qwen3-4b,medqa_test_01155,1,0.526179,5
medqa,qwen3-4b,medqa_test_00536,1,0.795019,1
medqa,qwen3-4b,medqa_test_00510,1,0.750559,1
medqa,qwen3-4b,medqa_test_00976,1,0.788844,2
medqa,qwen3-4b,medqa_test_01050,1,0.834487,3
medqa,qwen3-4b,medqa_test_00742,0,0.196589,5
medqa,qwen3-4b,medqa_test_01263,0,0.850296,4
medqa,qwen3-4b,medqa_test_00631,1,0.661157,3
medqa,qwen3-4b,medqa_test_01157,1,0.892673,4
medqa,qwen3-4b,medqa_test_00473,1,0.927352,1
medqa,qwen3-4b,medqa_test_00812,1,0.825451,4
medqa,qwen3-4b,medqa_test_00299,1,0.932742,1
medqa,qwen3-4b,medqa_test_00717,1,0.858333,1
medqa,qwen3-4b,medqa_test_00850,0,0.330242,3
medqa,qwen3-4b,medqa_test_00049,1,0.703027,5
medqa,qwen3-4b,medqa_test_00100,1,0.704955,4
medqa,qwen3-4b,medqa_test_00662,1,0.783062,4
medqa,qwen3-4b,medqa_test_01254,1,0.871404,1
medqa,qwen3-4b,medqa_test_01150,0,0.402988,3
medqa,qwen3-4b,medqa_test_00044,0,0.146985,5
medqa,qwen3-4b,medqa_test_00861,0,0.77101,2
medqa,qwen3-4b,medqa_test_00898,1,0.881973,2
medqa,qwen3-4b,medqa_test_00328,1,0.79522,1
medqa,qwen3-4b,medqa_test_01071,1,0.919941,5
medqa,qwen3-4b,medqa_test_01032,1,0.907185,1
medqa,qwen3-4b,medqa_test_00892,1,0.875906,1
medqa,qwen3-4b,medqa_test_00623,1,0.951892,2
medqa,qwen3-4b,medqa_test_01173,1,0.945141,5
medqa,qwen3-4b,medqa_test_00272,1,0.901506,4
medqa,qwen3-4b,medqa_test_00489,1,0.954261,3
medqa,qwen3-4b,medqa_test_01185,1,0.907109,2
medqa,qwen3-4b,medqa_test_00848,1,0.88759,1
medqa,qwen3-4b,medqa_test_00835,1,0.925268,3
medqa,qwen3-4b,medqa_test_00860,1,0.432987,3
medqa,qwen3-4b,medqa_test_00603,1,0.852776,3
medqa,qwen3-4b,medqa_test_00356,1,0.857612,2
