question_id,model,dataset,gold_answer,greedy_choice,correct,in_all_clean,greedy_truncated,n_samples_clean,n_samples_with_letter,trace_length,rep_3,rep_4,rep_5,trace_divergence,answer_semantic_entropy,p_true,verbalized_confidence,hedging_formal,hedging_reasoning,hedging_combined,connector_density
medqa_test_00990,r1-distill-llama-8b,medqa,E,C,False,True,False,10,10,1210.7,0.05259003330038118,0.022512422347022155,0.01095901845916688,0.10829456895589828,1.5709505944546687,0.9875683585504312,0.9,0.015162099476902363,0.003196673065101154,0.017495754084528827,0.010710430167652536
medqa_test_00202,r1-distill-llama-8b,medqa,D,B,False,True,False,10,10,869.0,0.08363282092928288,0.03889942530603563,0.019723122514923086,0.07573932409286499,0.7219280948873623,0.18242588215891786,0.9,0.021743048882639268,0.004028238032135685,0.025180551646723958,0.01280211323752512
medqa_test_01258,r1-distill-llama-8b,medqa,A,A,True,True,False,10,10,1280.8,0.0762804926397575,0.03652361438669598,0.019195137569365618,0.10252799838781357,1.5709505944546687,0.9999910603053284,0.9,0.018083838127864054,0.0022068787071451794,0.019854691670312813,0.00907922614874183
medqa_test_00277,r1-distill-llama-8b,medqa,D,D,True,True,False,10,10,1506.7,0.08189691840289656,0.03584395785582525,0.01699883972993733,0.10496857017278671,0.7219280948873623,,0.9,0.015629418900999763,0.0035286606075456512,0.018800873567331785,0.006220012238771807
medqa_test_00427,r1-distill-llama-8b,medqa,B,B,True,False,False,9,9,2206.7,0.21743831727262566,0.14565522833174366,0.10374233720932376,0.09238885343074799,0.0,0.20181379464361504,0.85,0.01695012651750128,0.009643409484623727,0.025242478085902898,0.0219878742656407
medqa_test_00015,r1-distill-llama-8b,medqa,B,A,False,True,False,10,10,1746.6,0.1529303830383714,0.09081591244222116,0.0559542108703323,0.054187674075365067,1.9709505944546686,0.9996200088574266,0.9,0.02795304433183195,0.004690346843914833,0.0321286449604142,0.01653652770459136
medqa_test_01202,r1-distill-llama-8b,medqa,A,A,True,True,False,10,10,1052.3,0.06611361827515747,0.026739276232570018,0.012762506173993538,0.07346883416175842,1.295461844238322,0.9997694933758807,0.9,0.017372697530175642,0.003953145799905242,0.01973126329964157,0.010642642665275662
medqa_test_01027,r1-distill-llama-8b,medqa,B,B,True,True,False,10,10,965.8,0.09411568650776378,0.04633259594959631,0.02625632967465994,0.0646563172340393,0.4689955935892812,0.20181402114697145,0.9,0.017716637860458413,0.012057860195757074,0.028778860352815145,0.018283761760019147
medqa_test_00827,r1-distill-llama-8b,medqa,B,B,True,True,False,10,10,1276.2,0.06065055842421661,0.02659230780000531,0.012692289473776142,0.08935022354125977,0.0,0.22270047121274839,0.7,0.021989478268790285,0.003895682699237968,0.025412341569523638,0.011106101771880638
medqa_test_00503,r1-distill-llama-8b,medqa,B,B,True,False,True,10,10,1613.3,0.15948244035302558,0.08531005353774426,0.0492631890914344,0.07451452314853668,1.1567796494470395,0.5926670815078355,,0.018545964868679453,0.009733931902097988,0.026691030712451786,0.01855152528360856
medqa_test_00325,r1-distill-llama-8b,medqa,C,,,False,True,10,10,1030.5,0.03922554305062746,0.012177961898354706,0.0038633238797055715,0.06720782071352005,0.0,0.9875685090992158,0.95,0.01679215474192929,0.0020007817579243297,0.017456532073275566,0.009835510570455034
medqa_test_00681,r1-distill-llama-8b,medqa,B,B,True,True,False,10,10,1339.1,0.07106891122012923,0.029179168997379813,0.013552353476820711,0.09106799960136414,0.4689955935892812,0.029312527874861407,0.95,0.015576863411692034,0.005533749190642896,0.020061024838373576,0.012741224453280266
medqa_test_00932,r1-distill-llama-8b,medqa,E,D,False,True,False,10,10,1251.2,0.06932618361712958,0.03359760007741218,0.017972683872307393,0.10550745576620102,0.0,,0.95,0.018414569894153916,0.004049143962871614,0.02181892384607955,0.011282759142334885
medqa_test_00387,r1-distill-llama-8b,medqa,B,B,True,True,False,10,10,1352.7,0.07406164866749824,0.03648077755140401,0.021582659658670532,0.07947734743356705,0.8812908992306927,0.26894192392978483,0.9,0.020857564647508382,0.002500651251113567,0.02263913987287031,0.008825302589114471
medqa_test_00235,r1-distill-llama-8b,medqa,B,B,True,True,False,10,10,1285.2,0.0881452088177824,0.03872343727323898,0.020101677888084157,0.06993098556995392,1.295461844238322,0.22270029186442553,0.95,0.015142692705258065,0.00601899511434012,0.019960376331453374,0.018464867078923194
medqa_test_00066,r1-distill-llama-8b,medqa,D,C,False,True,False,10,10,1044.5,0.08938120604098697,0.04528527005324586,0.022757031473169285,0.07321533560752869,1.5219280948873621,,0.95,0.017722939549751526,0.0048122315973670214,0.021845417727444666,0.015433105920754666
medqa_test_00347,r1-distill-llama-8b,medqa,A,A,True,True,False,10,10,1143.6,0.06060930300959807,0.022439722259947413,0.009083647014866492,0.057664308696985245,0.0,0.9999832985753238,0.95,0.011572154494280888,0.002099641270333508,0.013460978309499605,0.0121781488170972
medqa_test_00442,r1-distill-llama-8b,medqa,C,,,True,False,10,6,726.4,0.049009680243626605,0.02401619751053301,0.01163267767154903,0.042681898921728134,0.6500224216483541,0.9770226708192995,0.9,0.011223898677314255,0.00131950609229852,0.012543404769612776,0.010002711815677624
medqa_test_01121,r1-distill-llama-8b,medqa,A,E,False,True,False,10,10,1860.8,0.10192369875143496,0.050152907259342315,0.024572881589664697,0.08709822595119476,1.5709505944546684,,0.9,0.0258021377858008,0.006146224289500268,0.0306547744540042,0.009543259591075954
medqa_test_00376,r1-distill-llama-8b,medqa,D,D,True,True,False,10,10,1910.1,0.1274473341737544,0.0700369770090557,0.04085277470811063,0.1127006858587265,0.8812908992306927,0.9940889311437563,0.95,0.02360209339497892,0.004455717967332157,0.02735881763955379,0.008887440377416183
medqa_test_00035,r1-distill-llama-8b,medqa,A,A,True,True,False,10,10,1028.5,0.062057231853248,0.027606482810056066,0.012277092091285025,0.08074185997247696,0.8812908992306927,0.9999916060227376,0.85,0.018991798201406004,0.005514377029993825,0.022846028320433216,0.008568670253735398
medqa_test_00332,r1-distill-llama-8b,medqa,D,D,True,False,False,9,9,1850.8,0.11580138965803928,0.0670949371479366,0.042006408860835356,0.0896528959274292,0.9910760598382222,0.9694916110333116,0.9,0.01837763510233864,0.006137284262572713,0.02316644432460855,0.0187113373532815
medqa_test_00400,r1-distill-llama-8b,medqa,B,,,False,True,10,10,2056.2,0.1435812389836723,0.07591952770220459,0.04403884658358446,0.1399030089378357,1.1567796494470395,0.9986749779379444,0.7,0.015162066245674951,0.006458297864835605,0.020642836758883433,0.01383350378463818
