question_id,model,dataset,gold_answer,greedy_choice,correct,in_all_clean,greedy_truncated,n_samples_clean,n_samples_with_letter,trace_length,hedging_formal,hedging_reasoning,hedging_combined,connector_density,rep_3,rep_4,rep_5,trace_divergence,answer_semantic_entropy,p_true,verbalized_confidence
medqa_test_00990,qwen3-4b-nothink,medqa,E,C,False,True,False,10,10,487.7,0.013334193194122537,0.0,0.013334193194122537,0.0,0.02429956786871631,0.009169278653543545,0.00326569664869123,0.08234422653913498,0.0,0.9999999999740539,1.0
medqa_test_00202,qwen3-4b-nothink,medqa,D,C,False,True,False,10,10,432.4,0.022350207098216366,0.0,0.022350207098216366,0.000531419376693767,0.036460506232242215,0.011042847487412943,0.0029440784658176012,0.08143756538629532,1.0,1.0,0.95
medqa_test_01258,qwen3-4b-nothink,medqa,A,A,True,True,False,10,10,600.7,0.02058224994551746,0.00027662517289073305,0.020858875118408192,0.0006724296696195766,0.05283091878758761,0.026670344377601306,0.014143776907736083,0.1041361391544342,1.1567796494470395,1.0,0.95
medqa_test_00277,qwen3-4b-nothink,medqa,D,D,True,True,False,10,10,634.7,0.010425166416000223,0.0,0.010425166416000223,0.0,0.04910243302263352,0.022427022267018835,0.011928021400011025,0.08683815598487854,0.0,0.005911068856243795,1.0
medqa_test_00427,qwen3-4b-nothink,medqa,B,B,True,True,False,10,10,428.1,0.006834745244106141,0.0,0.006834745244106141,0.0026493994172437194,0.08396871520288274,0.04813842124311805,0.02624980303927633,0.10096987336874008,0.0,0.0,1.0
medqa_test_00015,qwen3-4b-nothink,medqa,B,E,False,True,False,10,10,591.2,0.020510038997240274,0.0,0.020510038997240274,0.00304658855084766,0.07254964982913083,0.04057803701029187,0.022496182976842992,0.05086592957377434,0.4689955935892812,0.9999999998973812,0.95
medqa_test_01202,qwen3-4b-nothink,medqa,A,A,True,True,False,10,10,385.8,0.01087166489010968,0.0,0.01087166489010968,0.0033552640117753183,0.01427608153927582,0.0037608546035067135,0.0007968127490039833,0.03995302692055702,0.0,0.9999999997210531,1.0
medqa_test_01027,qwen3-4b-nothink,medqa,B,B,True,True,False,10,10,262.5,0.000877209857068657,0.0,0.000877209857068657,0.001277930339175527,0.056177654948619205,0.016394633148259764,0.0018599514405833295,0.035496700555086136,0.0,5.109089028014746e-12,1.0
medqa_test_00827,qwen3-4b-nothink,medqa,B,B,True,True,False,10,10,616.2,0.011730890480092012,0.0,0.011730890480092012,0.001288260201183348,0.04085547589879072,0.01829303296076975,0.008932190473402778,0.07172044366598129,0.0,1.0,0.95
medqa_test_00503,qwen3-4b-nothink,medqa,B,B,True,True,False,10,10,528.9,0.01059778941296037,0.0,0.01059778941296037,0.0019908505846017548,0.10694992730161128,0.06307990627262229,0.039250963829474975,0.04269292950630188,1.360964047443681,1.0,1.0
medqa_test_00325,qwen3-4b-nothink,medqa,C,C,True,True,False,10,10,627.0,0.015118545844569306,0.0,0.015118545844569306,0.0,0.045122110439729024,0.02030362066979402,0.009430959848812925,0.06673179566860199,0.0,0.0,1.0
medqa_test_00681,qwen3-4b-nothink,medqa,B,B,True,True,False,10,10,687.0,0.008440933004706611,0.0,0.008440933004706611,0.0008612612530462159,0.04989141996554068,0.019996459044834623,0.010103209828197669,0.06553264707326889,0.0,1.0,0.95
medqa_test_00932,qwen3-4b-nothink,medqa,E,D,False,True,False,10,10,555.3,0.017333364091681302,0.0,0.017333364091681302,0.00016260162601626016,0.03897510172527587,0.018619978295858687,0.00985216955148438,0.0863185003399849,0.9219280948873623,0.0,0.95
medqa_test_00387,qwen3-4b-nothink,medqa,B,B,True,True,False,10,10,527.1,0.01692548212912552,0.0,0.01692548212912552,0.0003728677169396405,0.029088664143413857,0.009756956257447446,0.003052912319364698,0.11384673416614532,0.0,0.9999999999972653,0.95
medqa_test_00235,qwen3-4b-nothink,medqa,B,B,True,True,False,10,10,332.6,0.006593025530398225,0.0,0.006593025530398225,0.005828898989191151,0.08544479505091654,0.048004275260177864,0.03047733813490754,0.04445672407746315,0.0,0.9999999988967438,1.0
medqa_test_00066,qwen3-4b-nothink,medqa,D,D,True,True,False,10,10,480.6,0.01665851884879881,0.0,0.01665851884879881,0.002763288906528132,0.06793319964811032,0.03178154043563637,0.015060099184372889,0.06611104309558868,0.0,0.9999999999983413,0.95
medqa_test_00347,qwen3-4b-nothink,medqa,A,A,True,True,False,10,10,579.7,0.009283937616516306,0.0,0.009283937616516306,0.00037492882183848904,0.04715181350923968,0.02222199021049116,0.010224408061540647,0.06662606447935104,0.4689955935892812,0.9999038975632867,0.95
medqa_test_00442,qwen3-4b-nothink,medqa,C,B,False,True,False,10,10,357.0,0.01187798126491586,0.0,0.01187798126491586,0.00026041666666666666,0.04772753210315409,0.020459886222598356,0.010606739993160285,0.11227135360240936,1.3709505944546687,1.0,1.0
medqa_test_01121,qwen3-4b-nothink,medqa,A,A,True,True,False,10,10,659.6,0.013468743931300476,0.0,0.013468743931300476,0.00047852416113900825,0.06077638037234302,0.026261231726468603,0.010334739712389452,0.12793348729610443,0.0,0.0,0.95
medqa_test_00376,qwen3-4b-nothink,medqa,D,D,True,True,False,10,10,643.0,0.018528059907405338,0.0002734731084776664,0.018801533015883005,9.115770282588879e-05,0.044007109510685004,0.02164647877535215,0.013225133074279605,0.1431436985731125,0.9709505944546686,0.9999984465276355,0.95
medqa_test_00035,qwen3-4b-nothink,medqa,A,A,True,True,False,10,10,497.1,0.015891405648034394,0.0,0.015891405648034394,0.00033422609083807607,0.04040473690393999,0.01951386884609412,0.011049748623495581,0.06585241854190826,0.0,0.9999999907625537,0.95
medqa_test_00332,qwen3-4b-nothink,medqa,D,D,True,True,False,10,10,699.6,0.006038256866827588,0.0,0.006038256866827588,0.0006971441941802629,0.047101828944925025,0.01927423073244324,0.007916607265441777,0.05599183961749077,0.0,0.9999999996418253,0.95
