dataset,model,method,n,ece,brier,nll,mean_p,std_p,min_p,max_p,accuracy
medqa,qwen3-4b,base_rate_constant,740,0.0,0.1806,0.547,0.7635,0.0,0.7635,0.7635,0.7635
medqa,qwen3-4b,p_true_platt,740,0.0031,0.1805,0.5466,0.7638,0.0223,0.4566,0.7672,0.7635
medqa,qwen3-4b,trace_LR,740,0.0551,0.155,0.4702,0.7631,0.1755,0.0392,0.9678,0.7635
mmlu_pro,qwen3-4b,base_rate_constant,712,0.0,0.1854,0.5577,0.7542,0.0002,0.754,0.7544,0.7542
mmlu_pro,qwen3-4b,p_true_platt,712,0.0131,0.1843,0.5547,0.7541,0.0402,0.6479,0.7828,0.7542
mmlu_pro,qwen3-4b,trace_LR,712,0.0501,0.1432,0.4406,0.7579,0.2121,0.0458,0.9853,0.7542
trivia_qa,qwen3-4b,base_rate_constant,915,0.0,0.2499,0.693,0.4918,0.0,0.4918,0.4918,0.4918
trivia_qa,qwen3-4b,p_true_platt,915,0.0118,0.2375,0.6664,0.4917,0.1053,0.1678,0.5293,0.4918
trivia_qa,qwen3-4b,trace_LR,915,0.0496,0.1672,0.5162,0.4912,0.2844,0.0027,0.9287,0.4918
medqa,r1-distill-llama-8b,base_rate_constant,785,0.0,0.2494,0.692,0.5236,0.0006,0.5223,0.5239,0.5236
medqa,r1-distill-llama-8b,p_true_platt,785,0.0179,0.2458,0.6851,0.5239,0.0553,0.1606,0.5393,0.5236
medqa,r1-distill-llama-8b,trace_LR,785,0.0423,0.2275,0.6459,0.5214,0.1551,0.1298,0.8843,0.5236
mmlu_pro,r1-distill-llama-8b,base_rate_constant,480,0.0,0.249,0.6912,0.5312,0.0,0.5312,0.5312,0.5312
mmlu_pro,r1-distill-llama-8b,p_true_platt,480,0.0119,0.2395,0.672,0.5308,0.0955,0.3199,0.5887,0.5312
mmlu_pro,r1-distill-llama-8b,trace_LR,480,0.0361,0.228,0.6498,0.5102,0.1668,0.0235,0.8786,0.5312
trivia_qa,r1-distill-llama-8b,base_rate_constant,942,0.0,0.2361,0.6651,0.3822,0.0002,0.382,0.3825,0.3822
trivia_qa,r1-distill-llama-8b,p_true_platt,942,0.0134,0.218,0.6247,0.3825,0.1311,0.1841,0.4831,0.3822
trivia_qa,r1-distill-llama-8b,trace_LR,942,0.0231,0.1997,0.5828,0.3827,0.1965,0.0032,0.8369,0.3822
mmlu_pro,qwq-32b,base_rate_constant,657,0.0,0.0867,0.316,0.9041,0.0009,0.903,0.9049,0.9041
mmlu_pro,qwq-32b,p_true_platt,657,0.0048,0.0864,0.3144,0.9042,0.0116,0.7701,0.9075,0.9041
mmlu_pro,qwq-32b,trace_LR,657,0.0162,0.0807,0.2832,0.9044,0.0955,0.3071,0.9902,0.9041
trivia_qa,qwq-32b,base_rate_constant,956,0.0,0.204,0.5981,0.7144,0.0006,0.7137,0.715,0.7144
trivia_qa,qwq-32b,p_true_platt,956,0.0148,0.1934,0.5751,0.7145,0.0941,0.2283,0.7393,0.7144
trivia_qa,qwq-32b,trace_LR,956,0.0246,0.1565,0.4859,0.715,0.2206,0.0035,0.9501,0.7144
medqa,qwen3-4b-nothink,base_rate_constant,926,0.0,0.23,0.6526,0.6415,0.0006,0.641,0.6424,0.6415
medqa,qwen3-4b-nothink,p_true_platt,926,0.0059,0.2215,0.635,0.6412,0.0895,0.3477,0.6727,0.6415
medqa,qwen3-4b-nothink,trace_LR,926,0.0584,0.2171,0.6224,0.6414,0.1293,0.0999,0.939,0.6415
mmlu_pro,qwen3-4b-nothink,base_rate_constant,897,0.0,0.2244,0.6411,0.66,0.0002,0.6597,0.6602,0.66
mmlu_pro,qwen3-4b-nothink,p_true_platt,897,0.0218,0.2176,0.6264,0.6603,0.0836,0.475,0.7083,0.66
mmlu_pro,qwen3-4b-nothink,trace_LR,897,0.0323,0.2025,0.59,0.6597,0.1577,0.0589,0.9508,0.66
trivia_qa,qwen3-4b-nothink,base_rate_constant,989,0.0,0.2434,0.6798,0.4186,0.0003,0.4185,0.4192,0.4186
trivia_qa,qwen3-4b-nothink,p_true_platt,989,0.0102,0.2123,0.6058,0.4187,0.1694,0.0922,0.5112,0.4186
trivia_qa,qwen3-4b-nothink,trace_LR,989,0.0146,0.1806,0.5416,0.4185,0.2497,0.0029,0.8692,0.4186
medqa,llama-3.1-8b-instruct,base_rate_constant,973,0.0,0.2273,0.6471,0.6506,0.0002,0.6504,0.6508,0.6506
medqa,llama-3.1-8b-instruct,p_true_platt,973,0.006,0.2265,0.6454,0.6506,0.0365,0.3483,0.6633,0.6506
medqa,llama-3.1-8b-instruct,trace_LR,973,0.0231,0.2113,0.6114,0.6518,0.1374,0.1588,0.9791,0.6506
mmlu_pro,llama-3.1-8b-instruct,base_rate_constant,531,0.0,0.2485,0.6902,0.5386,0.0004,0.5377,0.5388,0.5386
mmlu_pro,llama-3.1-8b-instruct,p_true_platt,531,0.0113,0.2458,0.6849,0.5376,0.0584,0.3224,0.5773,0.5386
mmlu_pro,llama-3.1-8b-instruct,trace_LR,531,0.0245,0.2311,0.6545,0.5339,0.139,0.0765,0.8333,0.5386
trivia_qa,llama-3.1-8b-instruct,base_rate_constant,769,0.0,0.2301,0.6528,0.6411,0.0006,0.6407,0.6423,0.6411
trivia_qa,llama-3.1-8b-instruct,p_true_platt,769,0.0186,0.2251,0.6425,0.6411,0.0674,0.3377,0.6639,0.6411
trivia_qa,llama-3.1-8b-instruct,trace_LR,769,0.0452,0.2148,0.6237,0.6309,0.1331,0.0199,0.8524,0.6411
