dataset,model,method,n,ece_raw,mean_confidence,accuracy
medqa,qwen3-4b,p_true,740,0.2347,0.9878,0.7635
medqa,qwen3-4b,verbalized_confidence,736,0.2005,0.9536,0.7622
medqa,qwen3-4b,semantic_entropy_as_confidence,740,0.1626,0.9236,0.7635
mmlu_pro,qwen3-4b,p_true,712,0.3024,0.7926,0.7542
mmlu_pro,qwen3-4b,verbalized_confidence,708,0.2373,0.9419,0.7571
mmlu_pro,qwen3-4b,semantic_entropy_as_confidence,730,0.1922,0.9428,0.7507
trivia_qa,qwen3-4b,p_true,915,0.4379,0.8951,0.4918
trivia_qa,qwen3-4b,verbalized_confidence,910,0.4421,0.9261,0.4945
trivia_qa,qwen3-4b,semantic_entropy_as_confidence,915,0.2166,0.7084,0.4918
medqa,r1-distill-llama-8b,p_true,785,0.4464,0.9582,0.5236
medqa,r1-distill-llama-8b,verbalized_confidence,782,0.3726,0.893,0.5205
medqa,r1-distill-llama-8b,semantic_entropy_as_confidence,792,0.1246,0.6169,0.5215
mmlu_pro,r1-distill-llama-8b,p_true,480,0.3847,0.7776,0.5312
mmlu_pro,r1-distill-llama-8b,verbalized_confidence,587,0.4023,0.8321,0.5026
mmlu_pro,r1-distill-llama-8b,semantic_entropy_as_confidence,598,0.2078,0.7028,0.495
trivia_qa,r1-distill-llama-8b,p_true,942,0.4097,0.6757,0.3822
trivia_qa,r1-distill-llama-8b,verbalized_confidence,943,0.4387,0.8205,0.3818
trivia_qa,r1-distill-llama-8b,semantic_entropy_as_confidence,944,0.1406,0.522,0.3814
mmlu_pro,qwq-32b,p_true,657,0.097,0.9763,0.9041
mmlu_pro,qwq-32b,verbalized_confidence,629,0.0799,0.9455,0.903
mmlu_pro,qwq-32b,semantic_entropy_as_confidence,657,0.0856,0.9877,0.9041
trivia_qa,qwq-32b,p_true,956,0.2598,0.9504,0.7144
trivia_qa,qwq-32b,verbalized_confidence,953,0.2422,0.9589,0.7167
trivia_qa,qwq-32b,semantic_entropy_as_confidence,956,0.14,0.8536,0.7144
medqa,qwen3-4b-nothink,p_true,926,0.3302,0.9037,0.6415
medqa,qwen3-4b-nothink,verbalized_confidence,926,0.3175,0.9587,0.6415
medqa,qwen3-4b-nothink,semantic_entropy_as_confidence,926,0.1594,0.7874,0.6415
mmlu_pro,qwen3-4b-nothink,p_true,897,0.3331,0.79,0.66
mmlu_pro,qwen3-4b-nothink,verbalized_confidence,903,0.3174,0.9695,0.6589
mmlu_pro,qwen3-4b-nothink,semantic_entropy_as_confidence,908,0.1887,0.8473,0.6586
trivia_qa,qwen3-4b-nothink,p_true,989,0.4,0.7803,0.4186
trivia_qa,qwen3-4b-nothink,verbalized_confidence,987,0.4776,0.8767,0.4195
trivia_qa,qwen3-4b-nothink,semantic_entropy_as_confidence,989,0.2971,0.7157,0.4186
medqa,llama-3.1-8b-instruct,p_true,973,0.3271,0.9594,0.6506
medqa,llama-3.1-8b-instruct,verbalized_confidence,973,0.1845,0.8197,0.6516
medqa,llama-3.1-8b-instruct,semantic_entropy_as_confidence,974,0.0824,0.7025,0.6509
mmlu_pro,llama-3.1-8b-instruct,p_true,531,0.3791,0.8387,0.5386
mmlu_pro,llama-3.1-8b-instruct,verbalized_confidence,721,0.3721,0.8942,0.5381
mmlu_pro,llama-3.1-8b-instruct,semantic_entropy_as_confidence,731,0.2018,0.7394,0.5376
trivia_qa,llama-3.1-8b-instruct,p_true,769,0.3341,0.9328,0.6411
trivia_qa,llama-3.1-8b-instruct,verbalized_confidence,816,0.3479,0.9367,0.625
trivia_qa,llama-3.1-8b-instruct,semantic_entropy_as_confidence,818,0.0837,0.6861,0.6259
