question_id,model,dataset,kind,gold_answer,greedy_prediction,greedy_choice,correct,in_all_clean,greedy_truncated,n_samples_clean,n_samples_with_prediction,n_samples_with_letter,trace_length,hedging_formal,hedging_reasoning,hedging_combined,connector_density,rep_3,rep_4,rep_5,trace_divergence,answer_semantic_entropy,p_true,verbalized_confidence
mmlu_pro_test_09830,qwq-32b,mmlu_pro,mcq,I,,,,False,True,7,7,7,4303.5,0.019501320804789432,0.013241388120399378,0.03182457184610914,0.014335971458698046,0.15138140726860383,0.06598536056166578,0.03201007384047152,0.05709432065486908,0.0,0.0005527757688958468,
mmlu_pro_test_04946,qwq-32b,mmlu_pro,mcq,E,B,B,False,True,False,10,10,10,912.2,0.057783938688531156,0.023276930617604698,0.0771962494155217,0.006859352880346281,0.11429581512489066,0.06572372934953004,0.04338799973768783,0.041815660893917084,0.8812908992306927,0.993307114482128,0.75
mmlu_pro_test_06900,qwq-32b,mmlu_pro,mcq,D,D,D,True,True,False,10,10,10,908.5,0.029952830288554298,0.0060884507896871755,0.0341204664856937,0.02201667870185378,0.09716945205991083,0.04200884002519158,0.01711677415253421,0.031415484845638275,0.0,0.9999898700123534,1.0
mmlu_pro_test_00481,qwq-32b,mmlu_pro,mcq,G,,,,False,True,0,5,5,6126.2,0.01155626927687445,0.008586986226766619,0.01989819680817892,0.019130048207413014,0.15376043441557893,0.06666134748838477,0.03143081433753904,0.04727524518966675,0.0,,0.08
mmlu_pro_test_01405,qwq-32b,mmlu_pro,mcq,C,C,C,True,False,False,8,10,10,4837.9,0.0165771266814997,0.013449021469034922,0.02961815896789175,0.033462648188981495,0.32623348491073567,0.1897791173285448,0.11403329283827349,0.03697262331843376,0.9709505944546686,0.9626726203199313,
mmlu_pro_test_03199,qwq-32b,mmlu_pro,mcq,D,D,D,True,True,False,10,10,10,876.9,0.03009887043804279,0.004648967271452094,0.03381479063371674,0.016248650770955032,0.04492073701770618,0.013775347425559336,0.004849988619643797,0.042043861001729965,0.0,0.9999687980799647,0.95
mmlu_pro_test_00399,qwq-32b,mmlu_pro,mcq,D,E,E,False,True,False,10,10,10,2075.9,0.007588196458443591,0.009509950914905713,0.01667403599876008,0.017816028844455815,0.14457639279691,0.06784868627945267,0.03354972445406159,0.03161711245775223,0.0,0.9978173298388452,1.0
mmlu_pro_test_06405,qwq-32b,mmlu_pro,mcq,A,A,A,True,True,False,10,10,10,1121.5,0.00953097716060593,0.00438629671735659,0.01382578256963681,0.018132899558600268,0.10928599089019309,0.05472420437717599,0.029440681055181273,0.036069922149181366,0.0,0.9993736625899875,1.0
mmlu_pro_test_07379,qwq-32b,mmlu_pro,mcq,E,I,I,False,False,False,9,10,10,2946.8,0.028427972150859106,0.01459302070743434,0.0415146582307699,0.020935098882849976,0.2716162444962464,0.15830549832921018,0.09020795708678292,0.05313964933156967,0.0,0.9947791500913156,0.95
mmlu_pro_test_02736,qwq-32b,mmlu_pro,mcq,A,A,A,True,True,False,10,10,10,990.6,0.024542980669308653,0.00451748489676196,0.02898033736094241,0.021373576119155694,0.07954104050385116,0.035904355853763247,0.017750341316000184,0.03647845238447189,0.0,0.9998415629850175,1.0
mmlu_pro_test_08299,qwq-32b,mmlu_pro,mcq,H,H,H,True,True,False,10,10,10,1981.3,0.012902475992489832,0.015089471430791035,0.02783839996897951,0.019816443414189693,0.17160591071940293,0.08690426175398222,0.043433344140900144,0.030830325558781624,0.0,0.9999151993973443,1.0
mmlu_pro_test_11265,qwq-32b,mmlu_pro,mcq,D,D,D,True,True,False,10,10,10,3836.6,0.006226047841962139,0.007532670151261184,0.013692781977508228,0.013775861302164997,0.0993490447874826,0.0456814430790428,0.02451845447683628,0.06301213055849075,0.0,0.9980732658772988,1.0
mmlu_pro_test_02400,qwq-32b,mmlu_pro,mcq,J,J,J,True,True,False,10,10,10,706.7,0.03424223562334552,0.00368936228431239,0.036959872533923646,0.011444161039895573,0.06875770458532883,0.03170126883820059,0.014170371809447335,0.04601514711976051,0.0,0.9999785550622384,0.95
mmlu_pro_test_00612,qwq-32b,mmlu_pro,mcq,C,F,F,False,True,False,10,10,10,986.3,0.05772630696175259,0.01420521145871414,0.07067797592812915,0.010915928427260073,0.07895517015203898,0.028938375610333456,0.012233699784974827,0.06207406893372536,0.0,0.9975273601491309,0.95
mmlu_pro_test_04994,qwq-32b,mmlu_pro,mcq,D,,,,False,True,8,10,10,4868.5,0.03838492085948385,0.02158657923878161,0.057687958434818686,0.013982229218965811,0.2574740204791771,0.1397605684118664,0.07630051540564507,0.05777446925640106,2.121928094887362,0.005220101982960604,
mmlu_pro_test_08741,qwq-32b,mmlu_pro,mcq,J,J,J,True,False,False,9,9,9,4975.5,0.01044541094016702,0.011986446415326788,0.022116486773575538,0.017142584691146313,0.18359293150968475,0.09159537905552063,0.04656870990105614,0.037262748926877975,0.0,0.9933021418527969,1.0
mmlu_pro_test_02961,qwq-32b,mmlu_pro,mcq,H,H,H,True,True,False,10,10,10,1653.6,0.031245913852441985,0.010738241467416278,0.03925152837019942,0.018961410785286098,0.0759178666998372,0.032122090472401256,0.017104132270483473,0.036002639681100845,0.0,0.9999151889857152,0.95
mmlu_pro_test_11888,qwq-32b,mmlu_pro,mcq,G,,,,False,True,0,5,5,6110.3,0.01911765129992301,0.014844204760838317,0.03298001409762126,0.014483089921159825,0.22409538740530105,0.12313163857025314,0.07281911182158776,0.07136525213718414,1.3709505944546687,,0.01
mmlu_pro_test_10141,qwq-32b,mmlu_pro,mcq,A,A,A,True,False,False,2,3,3,5876.8,0.011297738453103027,0.013017419663088944,0.023849267810806346,0.019840833774530338,0.2141488597435813,0.10698810692513969,0.05591933670989048,0.06636656820774078,0.9182958340544896,0.9999997617631827,
mmlu_pro_test_08614,qwq-32b,mmlu_pro,mcq,C,C,C,True,True,False,10,10,10,565.1,0.01978201140050594,0.012858285511297637,0.03244687331412466,0.029641927739772735,0.07821519151710635,0.03700245340857079,0.018562361545310425,0.030370982363820076,0.0,0.9978172865385098,1.0
mmlu_pro_test_00706,qwq-32b,mmlu_pro,mcq,H,J,J,False,True,False,10,10,10,4106.1,0.017452522972074874,0.013405770868036631,0.029895882414798534,0.016082538343228685,0.13629875369753908,0.06006851137832471,0.02537537937248845,0.045958083122968674,0.0,0.9959298516319752,0.95
mmlu_pro_test_05716,qwq-32b,mmlu_pro,mcq,J,J,J,True,True,False,10,10,10,2038.9,0.03881553874731782,0.01229963949564365,0.04937482983323373,0.014095481676876876,0.1431444079169927,0.06924755528468096,0.035298626117145473,0.05798983946442604,0.0,0.9997965731384594,0.95
